"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5317","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","5","1","1","11.507387","0","19"
"/Game/VRE/Grippables/Misc/Examples/Button/Green.Green","0","16","2","1","186.954895","0","45"
"/Game/cupboard/Materials/Green_Light_Emissive.Green_Light_Emissive","0","16","2","1","0.000000","0","45"
"/Game/StaticObject/ScenarioObject/Camera/Material_Imissive.Material_Imissive","0","16","2","1","0.000000","0","45"
"/Game/cupboard/Materials/Red_Light_Emissive.Red_Light_Emissive","0","16","2","1","0.000000","0","45"
"/Game/cupboard/Materials/Indicator_Emission.Indicator_Emission","0","16","2","1","0.000000","0","45"
"/Game/BP/cupboard/Materials/Orange_Light_Emissive.Orange_Light_Emissive","0","16","2","1","0.000000","0","45"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","8","9","1","16.810022","0","14"
"","0","1","0","1","0.000000","47","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","10","2","1","16.434841","0","29"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","10","10","1","16.205999","0","15"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","17","6","124.191223","0","469"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","20","7","1","244.433517","0","119"
"/Game/GDXR_VR_Template/Materials/WidgetMaterials/M_GazeSpinner.M_GazeSpinner","0","16","1","1","19.720968","0","146"
"/Game/GDXR_VR_Template/DemoContent/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","56","2","2","685.053345","0","583"
"/Game/Materials/NonMetal/Road_Slab.Road_Slab","0","28","3","1","358.308105","0","379"
"/Game/Materials/NonMetal/Road_Slab_1.Road_Slab_1","0","28","1","1","359.276062","0","384"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","29","1","1","249.915894","0","99"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","8","5","1","20.385155","0","26"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","12","3","1","22.508154","0","79"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","5","1","1","12.106855","0","19"
"/MovieRenderPipeline/Materials/MoviePipeline_StencilCutout.MoviePipeline_StencilCutout","0","17","1","1","23.307354","0","198"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","15","2","1","22.734978","0","60"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","10","2","1","0.000000","0","33"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","10","2","1","15.895618","0","42"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","16","1","1","35.551811","0","104"
"/Game/UltraDynamicSky/Materials/Ultra_Dynamic_Sky_Mat.Ultra_Dynamic_Sky_Mat","0","170","120","34","1782.484863","530","1980"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","32","3","1","399.909271","0","500"
"/Game/BP/cupboard/Materials/Material_009.Material_009","0","16","2","1","208.756332","0","137"
"/Game/BP/cupboard/Materials/Conductor_Emission.Conductor_Emission","0","16","1","1","190.064148","0","151"
"/Game/StaticObject/17_fence/Rubber.Rubber","0","16","2","1","176.088593","0","114"
"/Game/VRE/Level/Car/VehicleBP/Sedan/Yellow.Yellow","0","16","2","1","0.000000","0","114"
"/Game/BP/cupboard/Props/Rubber.Rubber","0","16","2","1","0.000000","0","114"
"/Game/StaticObject/02_08_3_4_Block/02_08/Isolator_Porcelain_Gray.Isolator_Porcelain_Gray","0","16","2","1","0.000000","0","114"
"/Game/OP_Dop/KRUN/Materials/GREEN.GREEN","0","16","2","1","0.000000","0","114"
"/Game/OP_Dop/KRUN/Materials/WHITE.WHITE","0","16","2","1","0.000000","0","114"
"/Game/BP/cupboard/Materials/Gr_buttons.Gr_buttons","0","16","2","1","0.000000","0","114"
"/Game/BP/cupboard/Materials/Display.Display","0","16","2","1","0.000000","0","114"
"/Game/BP/cupboard/Materials/RAL_7036.RAL_7036","0","16","2","1","0.000000","0","114"
"/Game/OP_Dop/KRUN/Materials/RED.RED","0","16","2","1","0.000000","0","122"
"/Game/cupboard/Materials/Material_010.Material_010","0","16","2","1","0.000000","0","114"
"/Game/VRE/Grippables/Misc/Examples/Microphone/black_mate_plastic.black_mate_plastic","0","16","2","1","0.000000","0","114"
"/Game/StaticObject/DopObject/BlockKey/Material.Material","0","16","2","1","0.000000","0","114"
"/Game/cupboard/RAS/Material_007.Material_007","0","16","2","1","0.000000","0","114"
"/Game/cupboard/RAS/Material_004.Material_004","0","16","2","1","0.000000","0","114"
"/Game/cupboard/RAS/Material.Material","0","16","2","1","0.000000","0","114"
